Groupe 1;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;14.9;12.0;13.4
CAP, BEP;22.7;17.1;19.8
Baccalauréat;22.8;22.2;22.5
Bac+2;13.4;16.3;14.9
Diplôme supérieur à BAC + 2;25.6;32.1;28.9
Non déterminé;0.6;0.4;0.5
Groupe 2;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;16.6;15.0;15.8
CAP, BEP;22.8;17.6;20.2
Baccalauréat;20.5;20.3;20.4
Bac+2;16.5;20.3;18.4
Diplôme supérieur à BAC + 2;23.4;26.6;25.0
Non déterminé;0.2;0.2;0.2
Groupe 3;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;22.6;24.0;23.3
CAP, BEP;35.4;28.5;31.9
Baccalauréat;13.9;16.6;15.3
Bac+2;12.0;15.1;13.6
Diplôme supérieur à BAC + 2;15.8;15.5;15.6
Non déterminé;0.3;0.3;0.3
Groupe 4;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;30.8;38.5;34.8
CAP, BEP;34.6;24.9;29.5
Baccalauréat;12.5;14.4;13.5
Bac+2;8.5;11.9;10.3
Diplôme supérieur à BAC + 2;13.3;10.3;11.7
Non déterminé;0.2;0.2;0.2
Groupe 5;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;21.3;22.5;21.9
CAP, BEP;29.0;22.2;25.5
Baccalauréat;17.4;18.3;17.8
Bac+2;12.6;15.9;14.3
Diplôme supérieur à BAC + 2;19.4;20.9;20.2
Non déterminé;0.3;0.3;0.3
Groupe 6;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;14.9;12.0;13.4
CAP, BEP;22 7;17.1;19.8
Baccalauréat;22.8;22.2;22.5
Bac+2;13.4;16.3;14.9
Diplôme supérieur à BAC + 2;25.6;32.1;28.9
Non déterminé;0.6;0.4;0.5
Groupe 7;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;21.3;22.5;21.9
CAP, BEP;29.0;22.2;25.5
Baccalauréat;17.4;18.3;17.8
Bac+2;12.6;15.9;14.3
Diplôme supérieur à BAC + 2;19.4;20.9;20.2
Non déterminé;0.3;0.3;0.3
Groupe 8;Hommes;Femmes;Ensemble
Sans diplôme, CEP, brevet des collègues;30.8;38.5;34.8
CAP, BEP;34.6;24.9;29.5
Baccalauréat;12.5;14.4;13.5
Bac+2;8.5;11.9;10.3
Diplôme supérieur à BAC + 2;13.3;10.3;11.7
Non déterminé;0.2;0.2;0.2
