Groupe 1;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Terrorisme, attentats;5;4;3;3;4;3;4;3;18;30
Racisme, discriminations;5;4;3;3;4;4;4;5;7;6
Santé;14;17;15;13;14;14;11;12;10;10
Groupe 2;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Terrorisme, attentats;5;4;3;3;4;3;4;3;18;30
Pauvreté;1;22;20;19;19;20;15;15;12;11
Racisme, discriminations;5;4;3;3;4;4;4;5;7;6
Groupe 3;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pauvreté;1;22;20;19;19;20;15;15;12;11
Santé;14;17;15;13;14;14;11;12;10;10
Déliquance;15;14;10;13;16;13;13;14;10;7
Groupe 4;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Terrorisme, attentats;5;4;3;3;4;3;4;3;18;30
Racisme, discriminations;5;4;3;3;4;4;4;5;7;6
Pauvreté;1;22;20;19;19;20;15;15;12;11
Groupe 5;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Pauvreté;1;22;20;19;19;20;15;15;12;11
Déliquance;15;14;10;13;16;13;13;14;10;7
Santé;14;17;15;13;14;14;11;12;10;10
Groupe 6;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Chômage, précarité de l'emploi;30;27;40;41;36;41;49;47;38;31
Santé;14;17;15;13;14;14;11;12;10;10
Pauvreté;1;22;20;19;19;20;15;15;12;11
Groupe 7;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Chômage, précarité de l'emploi;30;27;40;41;36;41;49;47;38;31
Environnement;11;10;7;6;4;3;3;4;4;4
Santé;14;17;15;13;14;14;11;12;10;10
